Feature,Importance
precip_mm,31.87463842210677
last_updated_epoch,14.801795196911788
humidity,10.54529241766831
visibility_km,7.50365895006357
latitude,6.850750568224475
longitude,4.306592081411492
feels_like_celsius,3.573784554732834
pressure_mb,3.3063366430592342
temperature_celsius,3.267735924830759
wind_kph,2.457908017659113
air_quality_PM10,2.336034199412772
wind_degree,1.7207659874437156
gust_kph,1.5701869567833897
air_quality_PM2.5,1.5229958650732627
wind_direction,0.8394601119810021
air_quality_Ozone,0.741338073199214
air_quality_Carbon_Monoxide,0.6530731577820669
air_quality_Sulphur_dioxide,0.5809893349417243
air_quality_gb-defra-index,0.4889964547561917
air_quality_us-epa-index,0.4554181893915252
air_quality_Nitrogen_dioxide,0.4151940735080418
uv_index,0.187054819058755
