iter	RMSE
0	28.90289397
1	28.0541279
2	27.25132045
3	26.50474714
4	25.81575478
5	25.16028847
6	24.56644481
7	24.01177706
8	23.48999503
9	23.00744517
10	22.55209403
11	22.13985388
12	21.76215766
13	21.41038619
14	21.07861136
15	20.77997238
16	20.4965567
17	20.22563967
18	19.99665964
19	19.76896431
20	19.56935
21	19.38474921
22	19.20646097
23	19.04634456
24	18.89580454
25	18.76363433
26	18.62766777
27	18.50896022
28	18.39916028
29	18.29119172
30	18.19004366
31	18.10601114
32	18.02425352
33	17.94471093
34	17.87621318
35	17.8110845
36	17.74843305
37	17.69151083
38	17.63481043
39	17.58530158
40	17.53630414
41	17.4909808
42	17.44162757
43	17.40410608
44	17.36805298
45	17.31993465
46	17.2861783
47	17.2569667
48	17.2244154
49	17.19326344
50	17.15756781
51	17.13151936
52	17.10623971
53	17.08728846
54	17.06724836
55	17.04332241
56	17.02289159
57	17.00175201
58	16.97661674
59	16.95326511
60	16.93627004
61	16.91239886
62	16.8939714
63	16.87205112
64	16.84472797
65	16.83091078
66	16.81721168
67	16.79597796
68	16.77790536
69	16.76400356
70	16.74979204
71	16.73108333
72	16.71408192
73	16.69946693
74	16.6858503
75	16.67292957
76	16.66231889
77	16.64994088
78	16.63601336
79	16.61686135
80	16.59756392
81	16.580275
82	16.56424665
83	16.55219207
84	16.54331186
85	16.53037814
86	16.51941235
87	16.49949864
88	16.48894839
89	16.47378975
90	16.46105021
91	16.44996287
92	16.43969082
93	16.42801959
94	16.42004403
95	16.39651375
96	16.38596203
97	16.37680527
98	16.3639218
99	16.34508563
100	16.33583571
101	16.32470081
102	16.31497816
103	16.30757114
104	16.29522805
105	16.28608313
106	16.27290167
107	16.26328943
108	16.25102181
109	16.24001411
110	16.22383408
111	16.21766357
112	16.20841968
113	16.19616695
114	16.191282
115	16.18159302
116	16.1737608
117	16.16145539
118	16.15189362
119	16.14018433
120	16.13399104
121	16.12606591
122	16.12022747
123	16.10664201
124	16.10200893
125	16.09478812
126	16.08175302
127	16.07852082
128	16.07240714
129	16.06502687
130	16.05898456
131	16.04839071
132	16.04008482
133	16.03319469
134	16.02784924
135	16.01616268
136	16.00841665
137	15.99922023
138	15.99305467
139	15.9863949
140	15.9786263
141	15.9721365
142	15.96099048
143	15.95215613
144	15.94353642
145	15.93672395
146	15.92989589
147	15.92447448
148	15.9176531
149	15.91250887
150	15.90322439
151	15.89185666
152	15.88413268
153	15.87425519
154	15.86619419
155	15.85834662
156	15.85232572
157	15.84468511
158	15.83579681
