iter	Passed	Remaining
0	274	274445
1	401	200383
2	550	182807
3	704	175326
4	830	165201
5	993	164532
6	1195	169617
7	1396	173227
8	1576	173604
9	1722	170570
10	1904	171271
11	2054	169193
12	2200	167102
13	2350	165523
14	2491	163600
15	2662	163759
16	2812	162600
17	2952	161056
18	3112	160677
19	3240	158773
20	3361	156724
21	3516	156311
22	3670	155916
23	3816	155215
24	3995	155807
25	4099	153564
26	4235	152629
27	4397	152645
28	4540	152033
29	4681	151358
30	4839	151260
31	4961	150073
32	5111	149781
33	5276	149922
34	5439	149979
35	5595	149825
36	5740	149396
37	5863	148444
38	6016	148247
39	6175	148207
40	6329	148037
41	6476	147725
42	6617	147288
43	6777	147250
44	6935	147189
45	7064	146518
46	7205	146094
47	7373	146240
48	7534	146231
49	7674	145813
50	7823	145569
51	7955	145041
52	8104	144817
53	8242	144399
54	8387	144106
55	8533	143849
56	8673	143486
57	8838	143542
58	8986	143331
59	9143	143243
60	9257	142501
61	9400	142222
62	9533	141785
63	9715	142088
64	9850	141700
65	10003	141570
66	10115	140860
67	10217	140035
68	10320	139248
69	10416	138388
70	10563	138220
71	10725	138235
72	10883	138208
73	11034	138083
74	11191	138025
75	11405	138660
76	11605	139114
77	11704	138358
78	11822	137827
79	11963	137576
80	12146	137810
81	12312	137837
82	12474	137822
83	12620	137620
84	12766	137428
85	12913	137242
86	13035	136795
87	13202	136829
88	13346	136616
89	13506	136563
90	13614	135990
91	13762	135825
92	13951	136066
93	14107	135970
94	14284	136083
95	14444	136021
96	14601	135926
97	14724	135523
98	14870	135337
99	15023	135207
100	15191	135217
101	15365	135278
102	15531	135260
103	15685	135137
104	15809	134754
105	15947	134502
106	16087	134266
107	16197	133776
108	16321	133418
109	16470	133259
110	16656	133405
111	16829	133434
112	16972	133225
113	17111	132991
114	17273	132930
115	17419	132745
116	17562	132540
117	17708	132363
118	17838	132061
119	17944	131594
120	18066	131245
121	18236	131243
122	18390	131126
123	18553	131074
124	18695	130868
125	18838	130673
126	18998	130597
127	19144	130423
128	19298	130298
129	19465	130269
130	19615	130118
131	19777	130051
132	19899	129719
133	20058	129630
134	20174	129265
135	20342	129233
136	20485	129045
137	20644	128951
138	20791	128789
139	20931	128581
140	21082	128437
141	21212	128173
142	21340	127892
143	21493	127767
144	21655	127694
145	21794	127483
146	21936	127289
147	22103	127245
148	22246	127056
149	22373	126785
150	22551	126793
151	22708	126690
152	22861	126558
153	23016	126439
154	23187	126410
155	23330	126226
156	23444	125883
157	23602	125781
158	23734	125538
159	23867	125306
160	24005	125097
161	24160	124980
162	24301	124789
163	24425	124513
164	24541	124197
165	24669	123942
166	24823	123819
167	24976	123693
168	25116	123500
169	25252	123289
170	25407	123173
171	25547	122982
172	25689	122803
173	25852	122724
174	25989	122520
175	26143	122398
176	26326	122409
177	26494	122353
178	26621	122102
179	26745	121840
180	26897	121707
181	27043	121545
182	27183	121358
183	27337	121238
184	27489	121101
185	27668	121086
186	27776	120761
187	27875	120399
188	27973	120034
189	28074	119687
190	28183	119374
191	28284	119032
192	28386	118693
193	28505	118431
194	28663	118329
195	28803	118153
196	28934	117939
197	29073	117760
198	29212	117582
199	29379	117517
200	29536	117410
201	29710	117370
202	29863	117247
203	29999	117055
204	30157	116952
205	30324	116880
206	30462	116700
207	30620	116594
208	30764	116433
209	30897	116234
210	31033	116044
211	31183	115907
212	31326	115747
213	31481	115629
214	31625	115468
215	31773	115327
216	31917	115167
217	32046	114954
218	32178	114756
219	32367	114758
220	32553	114748
221	32724	114684
222	32876	114551
223	33024	114407
224	33164	114232
225	33389	114352
226	33709	114790
227	33968	115015
228	34257	115338
229	34499	115496
230	34741	115655
231	34957	115722
232	35242	116012
233	35490	116179
234	35739	116342
235	36000	116544
236	36289	116829
237	36568	117079
238	36852	117343
239	37187	117760
240	37495	118086
241	37734	118191
242	38007	118400
243	38273	118584
244	38525	118722
245	38763	118813
246	38995	118882
247	39240	118987
248	39484	119086
249	39719	119159
250	39935	119168
251	40197	119315
252	40462	119468
253	40701	119540
254	40928	119574
255	41149	119592
256	41422	119755
257	41669	119841
258	41914	119916
259	42148	119960
260	42389	120023
261	42642	120116
262	42869	120133
263	43086	120119
264	43341	120212
265	43597	120302
266	43839	120353
267	44074	120382
268	44305	120398
269	44529	120394
270	44773	120442
271	45010	120469
272	45248	120496
273	45509	120583
274	45741	120591
275	45983	120622
276	46211	120617
277	46435	120599
278	46681	120635
279	46920	120651
280	47158	120665
281	47385	120649
282	47630	120676
283	47851	120640
284	48082	120627
285	48331	120659
286	48582	120694
287	48821	120697
288	49039	120647
289	49300	120701
290	49519	120649
291	49737	120597
292	49980	120601
293	50234	120631
294	50489	120660
295	50729	120653
296	50968	120642
297	51224	120669
298	51480	120695
299	51736	120717
300	51989	120733
301	52253	120771
302	52521	120817
303	52753	120778
304	52957	120672
305	53207	120672
306	53443	120638
307	53689	120627
308	53891	120513
309	54134	120492
310	54392	120503
311	54645	120500
312	54878	120452
313	55120	120422
314	55349	120363
315	55589	120325
316	55820	120269
317	56030	120165
318	56274	120133
319	56520	120106
320	56759	120061
321	57002	120023
322	57224	119941
323	57466	119899
324	57703	119845
325	57948	119808
326	58207	119798
327	58441	119734
328	58712	119743
329	58938	119662
330	59187	119626
331	59427	119570
332	59653	119485
333	59877	119395
334	60165	119432
335	60426	119414
336	60666	119352
337	60914	119306
338	61160	119254
339	61421	119230
340	61667	119175
341	61899	119092
342	62145	119035
343	62379	118955
344	62641	118928
345	62893	118880
346	63156	118850
347	63408	118799
348	63656	118739
349	63886	118645
350	64102	118526
351	64327	118420
352	64593	118391
353	64833	118312
354	65062	118211
355	65293	118114
356	65571	118101
357	65829	118051
358	66093	118011
359	66352	117960
360	66602	117891
361	66866	117848
362	67108	117763
363	67360	117696
364	67635	117667
365	67892	117606
366	68117	117488
367	68343	117372
368	68592	117294
369	68832	117201
370	69075	117111
371	69280	116957
372	69506	116838
373	69755	116757
374	70019	116699
375	70267	116614
376	70516	116530
377	70753	116424
378	71023	116373
379	71263	116271
380	71513	116186
381	71767	116105
382	71996	115984
383	72239	115884
384	72463	115753
385	72703	115647
386	72947	115547
387	73205	115468
388	73458	115380
389	73696	115269
390	73929	115148
391	74168	115037
392	74419	114943
393	74645	114809
394	74875	114682
395	75105	114554
396	75346	114443
397	75604	114357
398	75830	114220
399	76071	114107
400	76304	113980
401	76553	113878
402	76804	113777
403	77045	113661
404	77304	113570
405	77545	113452
406	77784	113332
407	78007	113187
408	78264	113091
409	78520	112993
410	78761	112872
411	79016	112771
412	79247	112635
413	79499	112528
414	79742	112408
415	80001	112309
416	80285	112246
417	80544	112145
418	80787	112023
419	81004	111863
420	81268	111767
421	81514	111648
422	81757	111522
423	82028	111435
424	82290	111333
425	82571	111258
426	82800	111111
427	83055	110999
428	83311	110887
429	83543	110743
430	83799	110631
431	84036	110492
432	84272	110351
433	84519	110226
434	84783	110120
435	85085	110064
436	85369	109983
437	85641	109886
438	85917	109794
439	86183	109687
440	86470	109607
441	86714	109472
442	86934	109306
443	87219	109220
444	87504	109135
445	87812	109077
446	88070	108955
447	88377	108893
448	88648	108787
449	88882	108634
450	89135	108504
451	89379	108363
452	89638	108239
453	89888	108103
454	90150	107982
455	90406	107853
456	90639	107695
457	90878	107545
458	91114	107392
459	91346	107232
460	91597	107095
461	91833	106940
462	92060	106774
463	92303	106626
464	92568	106504
465	92791	106331
466	93040	106189
467	93336	106099
468	93641	106020
469	93911	105899
470	94223	105825
471	94474	105683
472	94737	105553
473	94971	105390
474	95223	105246
475	95488	105118
476	95735	104967
477	96016	104855
478	96336	104783
479	96623	104675
480	96874	104527
481	97095	104347
482	97423	104281
483	97659	104116
484	97910	103966
485	98164	103820
486	98397	103650
487	98647	103499
488	98879	103328
489	99157	103204
490	99427	103072
491	99716	102959
492	99987	102827
493	100236	102671
494	100499	102530
495	100754	102379
496	100985	102204
497	101308	102122
498	101591	101998
499	101901	101901
500	102203	101795
501	102470	101654
502	102757	101531
503	103052	101417
504	103348	101301
505	103632	101174
506	103919	101050
507	104168	100887
508	104443	100750
509	104749	100641
510	105041	100518
511	105460	100517
512	105661	100305
513	105860	100094
514	106132	99950
515	106333	99739
516	106496	99492
517	106664	99251
518	106832	99010
519	106995	98764
520	107164	98525
521	107323	98276
522	107481	98028
523	107657	97795
524	107885	97611
525	108101	97414
526	108372	97267
527	108591	97073
528	108906	96966
529	109222	96857
530	109454	96674
531	109694	96498
532	109886	96279
533	110165	96137
534	110406	95960
535	110717	95844
536	111045	95742
537	111288	95567
538	111631	95476
539	111868	95295
540	112151	95152
541	112400	94980
542	112616	94780
543	112966	94692
544	113240	94540
545	113507	94381
546	113754	94205
547	114088	94102
548	114333	93923
549	114567	93736
550	114843	93584
551	115137	93444
552	115434	93307
553	115720	93161
554	116034	93036
555	116336	92901
556	116656	92781
557	117028	92699
558	117347	92576
559	117513	92332
560	117680	92088
561	117875	91867
562	118088	91660
563	118320	91467
564	118553	91275
565	118723	91035
566	118926	90820
567	119178	90642
568	119420	90457
569	119705	90304
570	119939	90112
571	120217	89952
572	120440	89752
573	120699	89578
574	120949	89397
575	121174	89197
576	121430	89021
577	121673	88834
578	121933	88659
579	122186	88480
580	122429	88292
581	122650	88088
582	122889	87898
583	123163	87732
584	123397	87538
585	123646	87354
586	123872	87153
587	124105	86958
588	124349	86770
589	124590	86579
590	124809	86373
591	125054	86186
592	125309	86004
593	125564	85823
594	125819	85641
595	126067	85455
596	126330	85278
597	126579	85091
598	126815	84896
599	127056	84704
600	127303	84515
601	127583	84349
602	127834	84163
603	128078	83972
604	128330	83786
605	128616	83621
606	128845	83420
607	129103	83237
608	129328	83033
609	129555	82830
610	129773	82621
611	130031	82438
612	130265	82239
613	130521	82054
614	130740	81845
615	130976	81647
616	131225	81457
617	131499	81282
618	131739	81086
619	131969	80884
620	132195	80679
621	132435	80483
622	132671	80284
623	132901	80081
624	133152	79891
625	133389	79692
626	133638	79501
627	133868	79298
628	134139	79119
629	134408	78938
630	134658	78746
631	134912	78556
632	135152	78358
633	135391	78159
634	135647	77970
635	135861	77757
636	136102	77559
637	136351	77365
638	136630	77188
639	136821	76962
640	137014	76736
641	137248	76534
642	137472	76326
643	137697	76118
644	137960	75931
645	138185	75724
646	138440	75532
647	138671	75327
648	138918	75131
649	139158	74931
650	139400	74732
651	139661	74543
652	139890	74336
653	140109	74124
654	140358	73929
655	140645	73752
656	140923	73572
657	141215	73397
658	141470	73203
659	141708	73001
660	141952	72801
661	142202	72604
662	142466	72415
663	142720	72220
664	142951	72012
665	143186	71808
666	143413	71599
667	143610	71375
668	143858	71176
669	144100	70974
670	144340	70771
671	144587	70572
672	144825	70368
673	145060	70162
674	145318	69968
675	145568	69769
676	145817	69570
677	146055	69365
678	146299	69163
679	146556	68967
680	146801	68766
681	147060	68570
682	147311	68371
683	147545	68164
684	147786	67960
685	148030	67757
686	148249	67543
687	148503	67344
688	148736	67136
689	148984	66935
690	149216	66726
691	149451	66518
692	149682	66309
693	149931	66108
694	150197	65914
695	150434	65707
696	150674	65501
697	150908	65292
698	151144	65085
699	151364	64870
700	151603	64664
701	151843	64457
702	152093	64255
703	152337	64050
704	152571	63842
705	152814	63636
706	153052	63429
707	153305	63227
708	153538	63017
709	153772	62808
710	154005	62598
711	154243	62390
712	154490	62186
713	154751	61987
714	154987	61778
715	155216	61566
716	155459	61359
717	155701	61152
718	155952	60949
719	156224	60753
720	156467	60546
721	156697	60335
722	156930	60124
723	157194	59924
724	157455	59724
725	157678	59509
726	157906	59296
727	158128	59080
728	158380	58876
729	158614	58665
730	158851	58455
731	159073	58239
732	159319	58033
733	159570	57827
734	159810	57618
735	160049	57409
736	160292	57200
737	160522	56987
738	160761	56777
739	160976	56559
740	161218	56350
741	161462	56141
742	161692	55928
743	161933	55718
744	162161	55505
745	162392	55291
746	162642	55084
747	162876	54872
748	163089	54653
749	163337	54445
750	163590	54239
751	163814	54024
752	164048	53811
753	164294	53602
754	164520	53387
755	164754	53174
756	165005	52967
757	165256	52760
758	165493	52547
759	165721	52332
760	165912	52106
761	166088	51875
762	166334	51666
763	166575	51455
764	166820	51245
765	167050	51031
766	167286	50818
767	167522	50605
768	167755	50392
769	167995	50180
770	168236	49969
771	168473	49756
772	168710	49543
773	168954	49332
774	169189	49119
775	169445	48912
776	169670	48695
777	169910	48483
778	170140	48268
779	170399	48061
780	170635	47847
781	170873	47634
782	171114	47422
783	171352	47209
784	171578	46992
785	171791	46772
786	172053	46566
787	172294	46353
788	172542	46142
789	172812	45937
790	172988	45707
791	173226	45493
792	173467	45280
793	173696	45064
794	173910	44844
795	174130	44626
796	174363	44411
797	174590	44194
798	174835	43982
799	175089	43772
800	175334	43560
801	175573	43346
802	175806	43130
803	176061	42920
804	176315	42709
805	176549	42494
806	176781	42278
807	177025	42065
808	177262	41850
809	177505	41637
810	177745	41422
811	177984	41208
812	178246	40998
813	178484	40783
814	178726	40569
815	178973	40356
816	179221	40143
817	179447	39925
818	179689	39711
819	179935	39498
820	180171	39282
821	180415	39068
822	180701	38862
823	180934	38646
824	181190	38434
825	181433	38219
826	181663	38002
827	181897	37785
828	182141	37570
829	182377	37354
830	182628	37141
831	182865	36924
832	183112	36710
833	183360	36496
834	183597	36279
835	183857	36067
836	184104	35853
837	184349	35638
838	184581	35420
839	184837	35207
840	185077	34990
841	185323	34775
842	185557	34558
843	185819	34345
844	186057	34128
845	186289	33910
846	186541	33696
847	186766	33477
848	187000	33259
849	187218	33038
850	187502	32829
851	187734	32611
852	188008	32399
853	188253	32183
854	188498	31967
855	188740	31750
856	188982	31533
857	189214	31315
858	189452	31097
859	189682	30878
860	189920	30660
861	190177	30446
862	190422	30229
863	190662	30011
864	190899	29793
865	191132	29574
866	191366	29356
867	191599	29137
868	191831	28918
869	192071	28700
870	192313	28482
871	192551	28264
872	192780	28044
873	193022	27827
874	193304	27614
875	193544	27396
876	193755	27174
877	194037	26961
878	194250	26739
879	194455	26516
880	194683	26296
881	194909	26076
882	195157	25858
883	195439	25645
884	195697	25429
885	195912	25207
886	196153	24989
887	196388	24769
888	196642	24552
889	196845	24329
890	197085	24110
891	197288	23886
892	197529	23668
893	197755	23447
894	197973	23225
895	198190	23004
896	198425	22784
897	198668	22565
898	198909	22346
899	199156	22128
900	199400	21909
901	199661	21692
902	199888	21471
903	200122	21251
904	200365	21032
905	200595	20812
906	200814	20590
907	201056	20371
908	201306	20152
909	201553	19933
910	201801	19715
911	202058	19496
912	202278	19275
913	202524	19055
914	202766	18836
915	203012	18616
916	203243	18396
917	203484	18176
918	203719	17955
919	203932	17733
920	204162	17512
921	204432	17294
922	204662	17073
923	204901	16853
924	205160	16634
925	205410	16415
926	205645	16194
927	205930	15977
928	206210	15759
929	206454	15539
930	206709	15320
931	206955	15099
932	207193	14878
933	207441	14658
934	207677	14437
935	207918	14216
936	208158	13995
937	208410	13775
938	208633	13553
939	208866	13331
940	209092	13109
941	209323	12888
942	209554	12666
943	209780	12444
944	210001	12222
945	210269	12002
946	210504	11781
947	210733	11559
948	210979	11338
949	211207	11116
950	211455	10895
951	211704	10674
952	211939	10452
953	212187	10231
954	212438	10010
955	212682	9788
956	212919	9566
957	213175	9345
958	213407	9123
959	213635	8901
960	213851	8678
961	214089	8456
962	214323	8234
963	214559	8012
964	214786	7790
965	215029	7568
966	215277	7346
967	215536	7125
968	215792	6903
969	216076	6682
970	216270	6459
971	216485	6236
972	216716	6013
973	216921	5790
974	217153	5568
975	217383	5345
976	217690	5124
977	217959	4902
978	218201	4680
979	218445	4458
980	218682	4235
981	218924	4012
982	219183	3790
983	219417	3567
984	219661	3345
985	219913	3122
986	220161	2899
987	220400	2676
988	220625	2453
989	220848	2230
990	221077	2007
991	221314	1784
992	221555	1561
993	221789	1338
994	222040	1115
995	222273	892
996	222538	669
997	222771	446
998	223011	223
999	223261	0
